Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Власюк,Адам,Олександрович,Чоловіча,1952-08-30,Історик,хутір Жовті Води,"вулиця Донецька, буд. 96 кв. 03, Подільськ, 73450",+380 90 077-56-07,korzharkadii@example.org
Артюх,Алла,Валентинівна,Жіноча,1944-06-08,Фольклорист,село Київ,"вулиця Десятого квітня, буд. 7 кв. 03, Глухів, 27724",036 200-94-13,dannazhuravel@example.org
Іщак,Юстина,Федорівна,Жіноча,1984-04-19,Адвокат,місто Кременчук,"площа Супутників, буд. 67, Новий Буг, 13126",203-26-62,otsymbaliuk@example.com
Тичина,Дарина,Іванівна,Жіноча,1953-12-18,Бухгалтер,місто Вільногірськ,"шосе Сьома, буд. 1, Авдіївка, 38527",+380 01 823-95-08,vitaliitereshchenko@example.com
Баштан,Дмитро,Валентинович,Чоловіча,1949-03-31,Епідеміолог,місто Косів,"узвіз Лузанівська, буд. 549 кв. 37, Старобільськ, 59082",094 150 80 97,edyta78@example.com
Стус,Владислав,Андрійович,Чоловіча,1988-04-01,Будник,село Хоростків,"сквер Миколаївська дорога, буд. 5, Новий Розділ, 57559",+380 10 972-63-68,lkhrystenko@example.com
Зінченко,Демид,Олегович,Чоловіча,1979-07-12,Співак,село Хрестівка,"сквер Андрійця Олега, буд. 922, Умань, 82700",450 74 68,karpaoleh@example.net
Пʼятаченко,Надія,Віталіївна,Жіноча,1954-12-22,Антрополог,селище Галич,"шосе Приморський, буд. 080 кв. 08, Буськ, 34794",541-46-64,feofanivasiuk@example.org
Алексеєнко,Лариса,Дмитрівна,Жіноча,1959-10-21,Кінокритик,місто Бровари,"сквер Керченський 2-й, буд. 43, Рубіжне, 62169",082 229 54 42,thaida@example.org
Колодуб,Варфоломій,Федорович,Чоловіча,1949-06-11,Мірошник,хутір Брянка,"вулиця Восьмого Березня Лінія 2-га, буд. 259 кв. 9, Ходорів, 66226",038 210 54 51,mishchenkofedir@example.com
Цушко,Миколай,Миколайович,Чоловіча,1980-04-24,Єгер,селище Вознесенівка,"набережна Жоліо-Кюрі, буд. 73, Кременець, 16368",519 38 93,aivanchenko@example.com
Василенко,Христина,Миколаївна,Жіноча,1977-10-13,Кінолог,хутір Дружба ,"площа 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 119 кв. 5, Алмазна, 07042",330-83-86,qkolisnychenko@example.net
Деркач,Петро,Олегович,Чоловіча,1963-05-21,Євнух,хутір Молочанськ,"узвіз Місячна, буд. 959, Попасна, 77218",+380 95 989-19-12,andrii36@example.net
Воблий,Микита,Сергійович,Чоловіча,2007-01-21,Співак,село Южноукраїнськ,"провулок Андрійця Олега, буд. 32 кв. 8, Молодогвардійськ, 28436",+380 52 268 36 44,liudmyla43@example.net
Шевченко,Володимира,Петрівна,Жіноча,2006-09-10,Живописець,селище Кадіївка,"парк Аркадійська, буд. 91 кв. 354, Первомайськ, 35651",732 88 94,orestzhalilo@example.com
Христенко,Емілія,Василівна,Жіноча,1995-11-05,Історик,хутір Волноваха,"площа Левадна, буд. 98 кв. 4, Городенка, 25437",+380 97 207-89-34,qzhuchenko@example.com
Петрик,Миколай,Андрійович,Чоловіча,1958-03-14,Геолог,місто Сєвєродонецьк,"парк Флотський 3-й, буд. 5 кв. 7, Миронівка, 63572",037 19 33,arsenkyrylenko@example.org
Олійник,Алевтин,Григорович,Чоловіча,1960-07-20,Ювелір,селище Іловайськ,"вулиця Луценка Івана, буд. 104 кв. 370, Тернопіль, 77208",515-91-29,yzubko@example.net
Юрченко,Анжела,Володимирівна,Жіноча,1982-03-20,Краєзнавець,хутір Мирноград,"провулок Пересипська 10-та, буд. 5, Гірник , 59335",+380 17 609-13-66,nazar62@example.org
Швачка,Марія,Володимирівна,Жіноча,1987-03-23,Геофізик,хутір Умань,"парк Олександра Кутузакія, буд. 5, Іршава, 89372",866-87-39,slytvynenko@example.com
Стус,Віолетта,Петрівна,Жіноча,1959-05-07,Публіцист,хутір Трускавець,"площа Текстильників, буд. 9 кв. 056, Городня, 94501",017 445 71 17,valentyna49@example.org
Ґалаґан,Орина,Григорівна,Жіноча,1991-08-22,Математик,хутір Мар'їнка,"парк Мічманський 1-й, буд. 04 кв. 246, Снігурівка, 75101",982 11 25,rfurs@example.net
Лаба,Ада,Василівна,Жіноча,1991-07-13,Гірник,хутір Хрустальний,"проспект Аркаса Миколи, буд. 9, Комарно, 01610",163-78-23,davyd79@example.org
Яремко,Зорян,Васильович,Чоловіча,1941-03-10,Гірник,село Трускавець,"узвіз Восьмого Березня Лінія 1-ша, буд. 1, Немирів, 93051",217 85 77,iakivpavlenko@example.org
Устенко,Гордій,Іванович,Чоловіча,1981-03-31,Режисер,хутір Костопіль,"набережна Іванова, буд. 388 кв. 9, Новий Розділ, 72740",205 75 23,emiliia40@example.net
Ісаєнко,Максим,Романович,Чоловіча,1975-11-18,Журналіст,село Курахове,"сквер Любашівський, буд. 998, Почаїв, 09072",073 625 70 28,hanna93@example.org
Ґжицький,Макар,Миколайович,Чоловіча,1986-06-28,Вчитель,село Березань ,"узвіз Бодаревського, буд. 6 кв. 022, Євпаторія, 96227",125 50 82,mkanivets@example.org
Демиденко,Гліб,Богданович,Чоловіча,1992-07-08,Складальник,селище Горохів,"провулок Верещагіна, буд. 3, Жовті Води, 60144",+380 01 842-99-00,aronetsdaryna@example.net
Мазепа,Богодар,Валентинович,Чоловіча,1944-10-06,Петрограф,село Пологи ,"провулок Парашутний, буд. 04, Умань, 02190",877 02 19,marusia89@example.net
Шеремета,Оксенія,Сергіївна,Жіноча,1966-09-26,Біолог,місто Білгород-Дністровський,"парк Куликове поле, буд. 4 кв. 2, Теплодар, 31298",+380 81 130 68 77,opanassalii@example.org
Рубець,Ганна,Петрівна,Жіноча,1970-05-02,Гірничий інженер,місто Пустомити,"парк ПшеничнаРадищева, буд. 337 кв. 276, Белз, 19754",657-20-19,vlasiukada@example.com
Петлюра,Ярослав,Михайлович,Чоловіча,1992-04-10,Публіцист,село Миронівка,"парк Пастера, буд. 98 кв. 127, Рава-Руська, 73249",+380 62 876-16-77,romanenkoliza@example.org
Онуфрієнко,Омелян,Борисович,Чоловіча,2008-05-07,Біолог,хутір Золоте,"шосе Лінія 55-та, буд. 471 кв. 3, Сквира, 58994",091 62 63,martadrozdenko@example.net
Фоменко,Геннадій,Миколайович,Чоловіча,1945-07-01,Фольклорист,хутір Батурин,"проспект Колекційна, буд. 78, Чернігів, 13603",+380 03 336-90-83,stanislav86@example.org
Бакуменко,Данна,Дмитрівна,Жіноча,1943-08-14,Шериф,село Зимогір'я,"узвіз Різницький, буд. 804 кв. 051, Нове Давидково, 67190",552 24 63,nestorkovpak@example.com
Іваничук,Владислав,Васильович,Чоловіча,1940-08-02,Сантехнік,селище Луганськ,"проспект Маразліївська, буд. 4, Полтава, 94984",+380 66 739 27 97,albert07@example.com
Макогон,Тетяна,Борисівна,Жіноча,1974-12-11,Круп'є,хутір Лутугине,"вулиця Святослава Ріхтера, буд. 5 кв. 474, Глиняни, 06666",067 004 76 90,nfesenko@example.com
Стус,Пилип,Петрович,Чоловіча,2006-03-18,Дерун,село Ялта,"сквер Лінія 32-га, буд. 91, Заводське, 34691",079 409-24-08,arsen95@example.net
Гавришкевич,Олександр,Сергійович,Чоловіча,1993-11-08,Дантист,селище Комарно,"провулок Лінійна, буд. 580, Кодима, 99890",002 709-45-32,shapovalklavdiia@example.net
Гайденко,Орина,Федорівна,Жіноча,1942-01-30,Паблік рилейшнз,село Новояворівськ,"проспект Тінистий, буд. 084 кв. 95, Дунаївці, 60822",+380 18 259-88-92,snizhana27@example.com
Базавлученко,Опанас,Миколайович,Чоловіча,2003-08-26,Підприємець,хутір Косів,"сквер Берегова, буд. 81, Кіцмань, 86809",048 705-67-67,rudykvalentyna@example.org
Гайворонський,Олександр,Андрійович,Чоловіча,2002-10-30,Актор,село Вашківці,"сквер Тупиковий, буд. 20 кв. 90, Бурштин , 38307",+380 87 165-45-51,baturynetsoryna@example.org
Тригуб,Леонтій,Петрович,Чоловіча,2003-07-11,Гірничий інженер,хутір Керч,"площа Транспортна, буд. 7 кв. 661, Хуст, 25846",681-02-04,wdrobakha@example.com
Рубан,Ярина,Федорівна,Жіноча,1956-10-11,Археолог,місто Барвінкове,"шосе Трояндова, буд. 96 кв. 377, Судова Вишня, 66993",+380 01 779-24-04,beibozhenko@example.org
Доценко,Амвросій,Євгенович,Чоловіча,1962-09-19,Бібліотекар,селище Зугрес,"площа Бориса Дерев'янка, буд. 502 кв. 2, Соледар, 89950",+380 71 216-82-09,deinekosolomiia@example.com
Засенко,Арсен,Валентинович,Чоловіча,2008-01-18,Електрик,хутір Остер ,"шосе Селекційна, буд. 1, Виноградів, 86985",052 61 66,mprokopovych@example.org
Юрчишин,Теодор,Михайлович,Чоловіча,1959-10-07,Євнух,село Бунге ,"набережна Нафтовиків 1-й, буд. 290 кв. 07, Приморськ (Україна), 58388",063 522-61-42,mariana03@example.org
Оробець,Кирило,Валентинович,Чоловіча,1989-07-09,Кухар,село Старий Крим,"парк Квіткова, буд. 030 кв. 83, Яремче, 41407",+380 (32) 848-50-23,iaremamamchur@example.org
Рябошапка,Костянтин,Віталійович,Чоловіча,1973-10-18,Правник,селище Городок,"набережна Радіо, буд. 72, Трускавець, 87507",002 019-92-34,jperepelytsia@example.net
Чекалюк,Богодар,Андрійович,Чоловіча,1972-02-04,Електромонтер,селище Старий Самбір,"набережна 11-та Лінія Марії Демченко, буд. 153, Хрустальний, 89792",349-05-05,volodymyrapushkar@example.net
Гречко,Трохим,Олегович,Чоловіча,1948-04-30,Бізнесмен,село Збараж,"узвіз 1-й Академічний тупик, буд. 672 кв. 2, Первомайськ, 07738",144 40 38,hennadiivlasenko@example.net
Їжакевич,Ростислав,Олександрович,Чоловіча,1982-03-08,Адвокат,село Лохвиця,"вулиця Крайня, буд. 18 кв. 894, Суходільськ, 68188",+380 98 559-13-46,kyrylo73@example.com
Даньків,Амалія,Василівна,Жіноча,1981-07-02,Ґрунтознавець,селище Нове Давидково,"вулиця Висока, буд. 04, Новомосковськ, 08278",+380 67 560-43-65,viktoriia28@example.net
Корсун,Пріска,Федорівна,Жіноча,1988-02-07,Математик,селище Сімферополь,"шосе Івана Франка, буд. 8, Алушта, 75436",+380 42 883-24-40,siukhymenko@example.org
Вертипорох,Феофан,Євгенович,Чоловіча,1980-02-08,Державний службовець,місто Липовець,"парк Лінія 47-ма, буд. 08 кв. 0, Дубровиця, 47636",063 772 62 70,marusia21@example.com
Гоголь-Яновська,Тетяна,Борисівна,Жіноча,1992-06-29,Географ,хутір Рудки,"парк Молодогвардійська, буд. 7, Ялта, 65374",443 25 66,iustymsavenko@example.net
Пустовіт,Владислав,Олександрович,Чоловіча,1975-05-04,Агроном,село Євпаторія,"набережна Академіка Панкратової, буд. 64 кв. 664, Долина , 16796",403 81 64,valeriiabramenko@example.com
Лесик,Геннадій,Дмитрович,Чоловіча,1964-09-02,Кінорежисер,село Рубіжне,"проспект Садовського, буд. 8 кв. 79, Жидачів, 69199",+380 (97) 185-50-83,edyta57@example.org
Іщенко,Ліза,Михайлівна,Жіноча,1968-02-11,Кінолог,хутір Виноградів,"вулиця Єрмака, буд. 001, Севастополь, 47555",074 132 02 68,alevtyngereta@example.net
Атаманюк,Світлана,Богданівна,Жіноча,1971-08-18,Публіцист,село Самбір,"вулиця Чернишевського, буд. 922 кв. 1, Городище , 05260",+380 83 035 91 21,vandriienko@example.net
Щербань,Лілія,Миколаївна,Жіноча,1993-02-16,Електромонтер,місто Жидачів,"парк Канатний, буд. 428, Дубно, 44703",071 302 90 63,alevtynisaievych@example.org
Вишняк,Гордій,Михайлович,Чоловіча,1948-10-06,Няня,селище Кагарлик,"узвіз Курортний, буд. 92, Мерефа, 18958",+380 64 009 34 30,deisunspas@example.net
Яремчук,Валентина,Федорівна,Жіноча,1944-03-29,Актор,селище Родинське,"площа Одарія, буд. 75, Ковель, 26551",016 548 89 68,aronetsdemyd@example.org
Рубець,Василина,Дмитрівна,Жіноча,1986-07-21,Музикознавець,селище Біляївка,"сквер Святослава Ріхтера, буд. 0, Сорокине, 63347",235-68-05,havrylo70@example.com
Єрмоленко,Орися,Іванівна,Жіноча,1970-12-22,Мовознавець,хутір Марганець ,"площа Кавказька, буд. 54 кв. 7, Золоте, 37339",228-61-65,liudmylaalekseienko@example.org
Дейсун,Миколай,Дмитрович,Чоловіча,1961-04-11,Прокурор,селище Сміла,"провулок Державіна, буд. 50 кв. 5, Хирів, 99908",589 81 74,tholyk@example.com
Дерегус,Богдан,Олександрович,Чоловіча,1953-03-01,Фізик,місто Луцьк,"узвіз Лінія 27-ма, буд. 5 кв. 2, Красногорівка, 82285",+380 52 092 53 19,milenababiuk@example.net
Парасюк,Наталія,Борисівна,Жіноча,1945-08-15,Електромонтер,село Берислав,"парк Михайлівська, буд. 29 кв. 6, Верхівцеве, 80578",088 521-80-39,mradchenko@example.net
Лисенко,Софія,Богданівна,Жіноча,1964-05-05,Редактор,селище Сарни,"шосе Дніпропетровська дорога, буд. 2, Баранівка, 73675",+380 64 782-58-58,shchyrytsiamilena@example.com
Єрошенко,Анастасія,Валентинівна,Жіноча,1983-05-10,Медик,місто Красноград,"проспект Зоопаркова, буд. 71 кв. 8, Волноваха, 06164",+380 (56) 043-60-09,bohdan68@example.com
Свистун,Марія,Богданівна,Жіноча,1999-07-29,Астроном,селище Іршава,"сквер Лінія 37-ма, буд. 16, Карлівка, 62853",+380 81 447 02 29,babychenkokamilla@example.com
Нестеренко,Віталій,Миколайович,Чоловіча,2007-02-14,Мірошник,хутір Брянка,"парк Локомотивний 1-й, буд. 0 кв. 7, Хрестівка, 82363",+380 86 986-79-11,uteslenko@example.com
Ящук,Ярослава,Іванівна,Жіноча,1940-07-26,Провізор,хутір Макіївка,"проспект Планетна, буд. 594, Бровари, 38067",030 61 43,arsen59@example.com
Наливайко,Азар,Михайлович,Чоловіча,1971-05-06,Штукатур,село Роздільна,"набережна Водопровідний 1-й, буд. 7 кв. 66, Бучач, 72260",022 074 15 87,nazar24@example.net
Шутько,Богданна,Володимирівна,Жіноча,1990-11-26,Парфюмер,місто Глобине,"проспект Каманіна, буд. 526, Новогродівка, 51387",+380 (51) 768-01-76,udovenkooksana@example.net
Джунь,Богуслава,Федорівна,Жіноча,1970-11-11,Прокурор,селище Скадовськ,"узвіз Трояндова, буд. 98, Іловайськ, 44964",017 085-72-69,kyryloshvedchenko@example.com
Пушкар,Златослава,Федорівна,Жіноча,1974-05-30,Математик,хутір Буринь,"проспект Солонцюватий, буд. 88 кв. 704, Каховка, 48026",980 47 63,albinateslenko@example.org
Мазур,Володимир,Олександрович,Чоловіча,1953-01-13,Підприємець,селище Балаклія,"парк Єфімова, буд. 0, Першотравенськ, 13110",078 46 02,anzhelaartym@example.org
Бандура,Єлисей,Андрійович,Чоловіча,1948-05-29,Лікар,хутір Татарбунари,"сквер Лазурний 2-й, буд. 3 кв. 9, Кадіївка, 27627",235-79-94,onufriienkoliza@example.org
Яценюк,Роксолана,Євгенівна,Жіноча,1947-10-04,Кінолог,селище Ладижин,"сквер Івана Франка, буд. 9 кв. 21, Інкерман, 81579",830-11-53,fastenkoborys@example.org
Скорик,Руслан,Олегович,Чоловіча,1980-06-20,Модельєр,місто Тараща,"провулок Академіка Панкратової, буд. 883 кв. 26, Хоростків, 91327",770-82-37,iaremkofrants@example.org
Корпанюк,Андрій,Олександрович,Чоловіча,1939-02-27,Ювелір,хутір Погребище,"провулок Польовий 1-й, буд. 493 кв. 43, Саки , 96385",069 887 57 17,zorian38@example.net
Єрьоменко,Феофан,Васильович,Чоловіча,1999-11-15,Архітектор,селище Біляївка,"парк Качалова, буд. 90, Городище , 96700",+380 44 633-00-31,xivanychuk@example.org
Мірошниченко,Теодор,Петрович,Чоловіча,1976-11-16,Модельєр,село Ізмаїл,"площа Грузинська, буд. 679, Курахове, 05922",004 193 91 47,csheremet@example.com
Швачко,Федір,Валентинович,Чоловіча,1981-02-22,Бізнесмен,місто Білогірськ,"площа Тиха, буд. 635, Іллінці, 46534",883 04 71,ckhrystych@example.net
Фаренюк,Богуслав,Борисович,Чоловіча,1967-10-25,Льотчик,місто Червоносів,"площа Круговий, буд. 23, Дубровиця, 32427",+380 98 243-00-81,zorianlevchenko@example.com
Носаченко,Орест,Романович,Чоловіча,1996-08-05,Електромонтер,село Вилкове,"вулиця Заводська 4-та, буд. 559, Житомир, 09222",038 373 88 83,iakymenkolarysa@example.com
Самойленко,Єлисавета,Михайлівна,Жіноча,1984-09-27,Геофізик,село Житомир,"проспект Гагаріна, буд. 71, Ялта, 88421",048 702-95-43,liudmyla18@example.net
Лазаренко,Георгій,Сергійович,Чоловіча,1947-09-09,Штукатур,село Попасна,"провулок Аеропортівський 6-й, буд. 99, Новоселиця, 87135",+380 03 103-63-15,nazarpalii@example.com
Саєнко,Гордій,Федорович,Чоловіча,1986-05-14,Фізик,селище Шахтарськ,"провулок Дежньова, буд. 9 кв. 30, Дрогобич, 16212",+380 (45) 799-11-92,dereviankosolomon@example.org
Яременко,Борис,Іванович,Чоловіча,1981-08-13,Круп'є,хутір Турка,"провулок Одарія, буд. 941, Тараща, 45080",622 44 28,vdovenkozynovii@example.net
Ільєнко,Ада,Богданівна,Жіноча,2006-02-08,Складальник,селище Тиврів,"парк Ямчитського, буд. 1, Новоселиця, 92457",605 21 30,valentynpylypenko@example.org
Удовенко,Мирон,Сергійович,Чоловіча,2006-04-11,Державний службовець,місто Синельникове,"сквер Естонська, буд. 4 кв. 38, Бориспіль, 83286",587-10-48,briabovil@example.com
Швайка,Златослава,Євгенівна,Жіноча,1994-07-08,Правник,місто Краматорськ,"парк Хлібна гавань, буд. 27, Вовчанськ, 04803",039 214 41 21,leon15@example.org
Затула,Єлисавета,Олександрівна,Жіноча,1938-10-22,Детектив,хутір Верхівцеве,"провулок Східний 2-й, буд. 97 кв. 9, Монастирище, 22455",+380 76 112-90-83,khoma16@example.org
Жаліло,Марія,Олегівна,Жіноча,1976-04-16,Мистецтвознавець,село Чортків,"шосе Сегедська, буд. 34, Сквира, 04178",052 361-01-01,rostyslav56@example.com
Давимука,Ярослав,Олегович,Чоловіча,1979-01-22,Психолог,місто Бахмач,"провулок Творча, буд. 380, Радивилів, 91423",+380 40 302-24-76,kostiantynsvyrydenko@example.com
Червоненко,Максим,Юрійович,Чоловіча,1949-07-04,Зоолог,хутір Калуш,"вулиця Мелітопольська, буд. 09, Белз, 37141",+380 29 490-30-81,qdankiv@example.net
Носаченко,Юстим,Петрович,Чоловіча,1952-07-27,Громадський діяч,хутір Білозерське,"площа Агрономічний, буд. 2, Липовець, 42526",631 41 35,paliileontii@example.org
Колесниченко,Григорій,Васильович,Чоловіча,1980-03-01,Круп'є,село Жмеринка,"проспект Гена Іоганна, буд. 903, Торецьк, 61897",+380 96 176-53-70,avdieienkoostap@example.org
Яремчук,Хома,Олегович,Чоловіча,1950-03-19,Флорист,село Березань ,"проспект Керченська, буд. 447, Дубровиця, 79053",+380 82 426-78-81,mykolai39@example.com
Алексюк,Юстина,Олегівна,Жіноча,1993-09-25,Диригент,місто Красноград,"проспект Щоголєва, буд. 6 кв. 46, Макіївка, 92369",041 558 33 47,zakhar35@example.net
Щербань,Остап,Григорович,Чоловіча,2004-01-28,Публіцист,селище Монастирище,"набережна Якутська, буд. 2, Арциз, 24873",013 412-19-19,vanchenkoiefrem@example.org
Свистун,Теодор,Сергійович,Чоловіча,1973-01-04,Секретар,селище Алупка,"узвіз Деволанівський узвіз, буд. 2 кв. 318, Первомайський , 15107",012 203 58 14,makarkarpenko@example.net
Приходько,Сніжана,Олегівна,Жіноча,1988-07-28,Педагог,хутір Щолкіне,"парк Гагарінське плато, буд. 2 кв. 3, Донецьк, 50924",094 121-38-51,kromanenko@example.net
Оберемко,Аліна,Іванівна,Жіноча,1976-04-13,Євнух,селище Деражня,"вулиця Кривобалківська, буд. 89, Біла Церква, 81109",+380 20 748-22-30,orynarudko@example.org
Михалюк,Аарон,Михайлович,Чоловіча,2007-06-09,Адвокат,село Вуглегірськ,"узвіз Толбухіна, буд. 970 кв. 207, Арциз, 30371",012 981-82-21,sofiia51@example.net
Туркало,Ірена,Василівна,Жіноча,1993-09-23,Швачка,селище Підгайці,"площа Олександра Блока, буд. 33, Бахчисарай, 98031",+380 18 806 83 52,demian23@example.com
Джус,Яків,Васильович,Чоловіча,1968-08-23,Стиліст,місто Сторожинець,"узвіз Богдана Хмельницького, буд. 3, Скадовськ, 04561",042 290-08-47,zinkevychmykhailyna@example.com
Вишняк,Варвара,Олександрівна,Жіноча,1952-08-11,Намотувальник,селище Умань,"проспект Амундсена, 3-й, буд. 5 кв. 934, Ватутіне, 70480",150-37-83,eiukhymenko@example.org
Бевз,Ігор,Богданович,Чоловіча,1974-01-30,Мікробіолог,хутір Овруч,"шосе Лузанівський 1-й, буд. 09 кв. 6, Фастів, 41003",+380 13 727-27-09,ielyseivobla@example.net
Тиха,Ада,Романівна,Жіноча,1950-03-12,Редактор,селище Миколаїв,"сквер Лінія 30-та, буд. 0 кв. 21, Славутич, 44834",+380 08 313 87 97,albert94@example.org
Гуцуляк,Опанас,Дмитрович,Чоловіча,1972-03-04,Філолог,село Армянськ,"узвіз Соляний 4-й, буд. 39 кв. 847, Новий Калинів, 09910",+380 (11) 687-57-67,orynadeineko@example.org
Бабенко,Єлисавета,Миколаївна,Жіноча,1973-10-02,Дизайнер,хутір Вознесенськ,"набережна Лазурний 1-й, буд. 2, Хорол , 85345",+380 37 198-86-82,oles26@example.net
Слюсар,Павло,Борисович,Чоловіча,1991-07-14,Гірничий інженер,село Комарно,"парк Керченська, буд. 984 кв. 4, Кипуче, 95444",+380 59 204-67-02,sofiiatychyna@example.net
Верховинець,Олег,Олександрович,Чоловіча,1954-11-27,Гицель,хутір Федорівка,"узвіз Банний, буд. 443 кв. 359, Славута, 73686",713-77-41,kshvedchenko@example.com
Гресь,Пармен,Валентинович,Чоловіча,1963-01-12,Прокурор,село Рудки,"сквер Львівська, буд. 80 кв. 37, Подільськ, 76785",+380 81 798 93 73,solomiia63@example.com
Токар,Віолетта,Дмитрівна,Жіноча,1984-01-27,Філолог,село Червоносів,"сквер Заводська 3-тя, буд. 566 кв. 88, Апостолове, 50311",014 749-54-50,solomiia53@example.org
Охримович,Феофан,Сергійович,Чоловіча,2007-05-28,Ювелір,хутір Дніпро ,"провулок Дальницька, буд. 370 кв. 52, Решетилівка, 54658",+380 22 998-79-30,khmaraiaroslav@example.net
Девдюк,Давид,Валентинович,Чоловіча,2004-11-03,Правник,місто Благовіщенське,"парк Улітіна, буд. 3 кв. 04, Чистякове, 48773",+380 (71) 485-64-00,bashpolchenkoleonid@example.com
Рубан,Йосип,Борисович,Чоловіча,1974-04-19,Промисловець,місто Тячів,"проспект Державіна, буд. 5 кв. 61, Лебедин, 59504",+380 65 093-01-51,rostyslavtsymbaliuk@example.net
Вакуленко,Михайлина,Олегівна,Жіноча,2008-05-31,Філолог,хутір Бар,"шосе Рєпіна, буд. 76, Лутугине, 89807",+380 53 607 94 06,martyn54@example.org
Наливайко,Олександр,Богданович,Чоловіча,1966-04-14,Бізнесмен,село Костопіль,"сквер Ланжерон, буд. 513, Львів, 12388",+380 17 989-84-60,onyshchenkoalevtyn@example.org
Шинкаренко,Трохим,Романович,Чоловіча,1952-04-06,Електромонтер,селище Сєвєродонецьк,"площа Лядова, буд. 752, Кам'янка-Дніпровська, 70966",+380 86 201-70-64,aaron32@example.com
Гайденко,Емілія,Андріївна,Жіноча,1968-07-19,Випробувач,хутір Теребовля,"площа Новоселів, буд. 71, Алупка, 81880",+380 (83) 007-98-36,filipenkoamvrosii@example.org
Іщак,Феофан,Михайлович,Чоловіча,2007-07-29,Зоолог,хутір Рівне,"проспект Ракетна, буд. 900 кв. 065, Судова Вишня, 51187",+380 86 350-81-16,kbabii@example.org
Дейнеко,Юхим,Валентинович,Чоловіча,1948-07-27,Електрослюсар,місто Семенівка,"сквер Балтський 3-й, буд. 402 кв. 468, Первомайський , 48242",+380 32 130-90-89,riurchenko@example.net
Заєць,Антон,Васильович,Чоловіча,1945-02-12,Ветеринар,місто Інкерман,"шосе Донцова Дмитра, буд. 783 кв. 024, Тячів, 04908",+380 80 429-33-74,teodor78@example.org
Архипенко,Анжела,Олегівна,Жіноча,1995-08-28,Юрист,хутір Броди,"проспект Успенська, буд. 580, Стебник, 79271",+380 75 079 20 41,tymofii66@example.org
Запорожець,Макар,Романович,Чоловіча,1962-02-04,Музичний редактор,селище Борщів,"проспект Мариністів, буд. 2, Трускавець, 08885",086 549-29-46,oleksa00@example.net
Кабаненко,Леонід,Миколайович,Чоловіча,1984-07-25,Композитор,місто Жидачів,"узвіз Лінія 24-та, буд. 882 кв. 33, Вільногірськ, 66312",+380 21 335-49-02,vasylyna62@example.org
Товстоліс,Марина,Василівна,Жіноча,1950-07-25,Петрограф,місто Вижниця,"набережна Дюківський сад, буд. 8, Конотоп, 73490",+380 03 531-22-69,omelian29@example.com
Ємельяненко,Зорян,Валентинович,Чоловіча,2004-11-27,Композитор,місто Вознесенськ,"сквер Крижанівський, буд. 71, Кам'янка-Бузька, 95213",+380 23 368 56 76,bdanchuk@example.net
Шеремета,Надія,Євгенівна,Жіноча,1968-02-07,Клоун,село Лиман ,"провулок Скрипковий, буд. 9 кв. 93, Довжанськ, 74639",+380 (68) 572-66-96,pavlychenkobohdanna@example.net
Деркач,Еріка,Григорівна,Жіноча,1966-01-16,Водій,місто Стрий,"шосе Фруктовий, буд. 5 кв. 21, Кам'янець-Подільський, 84483",115-25-05,hannamykhaliuk@example.com
Дутка,Іван,Романович,Чоловіча,1987-10-12,Конструктор,село Балта,"провулок Чернігівська, буд. 9 кв. 185, Білозерське, 82840",+380 35 520-59-74,tsisykpavlo@example.com
Ярош,Єва,Федорівна,Жіноча,1985-10-05,Музичний редактор,селище Деражня,"шосе Корнюшина, буд. 187, Балаклія, 65982",+380 18 779 73 20,serhii81@example.org
Рудик,Орхип,Іванович,Чоловіча,1999-06-05,Епідеміолог,село Прилуки,"провулок Кордонний, буд. 7, Лебедин, 48538",+380 32 951-84-27,levko35@example.net
Червоненко,Гліб,Володимирович,Чоловіча,1959-10-09,Агроном,хутір Умань,"парк Стеценко, буд. 5 кв. 1, Кремінна, 61797",+380 46 752 28 64,bezditkofedir@example.com
Семенченко,Соломія,Василівна,Жіноча,1940-08-27,Маркетолог,селище Жовті Води,"площа Скляний 1-й, буд. 6, Географія Вільнянська, 78525",053 260-51-83,charnyshliubov@example.org
Опанасенко,Тереза,Михайлівна,Жіноча,1940-10-02,Композитор,селище Кодима,"парк Прохоровський, буд. 358, Новоселиця, 69042",011 404-68-25,onysymovcharenko@example.com
Дутка,Прохір,Олександрович,Чоловіча,1981-11-19,Музичний редактор,хутір Щолкіне,"шосе Гаршина, буд. 839 кв. 33, Новодружеськ, 58882",060 254 28 36,pvysochan@example.com
Запорожець,Устим,Григорович,Чоловіча,1964-09-23,Льотчик,село Шумськ,"проспект Восьмого Березня Лінія 3-тя, буд. 0 кв. 1, Ужгород, 66478",637-52-94,khaidabura@example.com
Вакуленко,Орина,Євгенівна,Жіноча,1979-05-29,Кінорежисер,хутір Батурин,"парк Чорноморський 6-й, буд. 30 кв. 92, Горішні Плавні, 20348",+380 81 956 58 40,kdankevych@example.org
Козак,Омелян,Сергійович,Чоловіча,1985-02-28,Адвокат,хутір Сулимівка (Слов'янськ),"сквер Кузнечна, буд. 4 кв. 548, Арциз, 18664",+380 64 440 83 70,veresihor@example.net
